RowNumber,Exited,P_Hat
1,1,0.124048376477557
2,0,0.159204972823441
3,1,0.326059827826468
4,0,0.226188702582126
5,0,0.156311150201132
6,1,0.246174520954035
7,0,0.0987195636143734
8,1,0.293328089892624
9,0,0.116341580237727
10,0,0.0369331782250898
11,0,0.123880713419974
12,0,0.0605434417449862
13,0,0.169996783840159
14,0,0.0989081797438094
15,0,0.0660853818682985
16,0,0.219463871488544
17,1,0.700780182262252
18,0,0.0316344650028699
19,0,0.226261916940518
20,0,0.0295070032901887
21,0,0.0562226958477444
22,0,0.140979224229255
23,1,0.244589283493173
24,0,0.0882346737332267
25,0,0.0797248611777651
26,0,0.0219015996947444
27,0,0.129248069034857
28,0,0.192467759707898
29,0,0.317693237573923
30,0,0.0465704751963719
31,1,0.216895448435674
32,0,0.0692493123597213
33,0,0.36719786107732
34,0,0.114420341469484
35,0,0.0401236267023258
36,1,0.45561829679127
37,0,0.0545231817391244
38,0,0.0473184144836757
39,0,0.0409897294346268
40,0,0.167228595676972
41,0,0.184907249065697
42,1,0.533675844453435
43,0,0.454691714429188
44,1,0.459573965051289
45,0,0.42774647065055
46,0,0.139614507472598
47,1,0.0996424622460798
48,1,0.232623358631804
49,0,0.163599237182258
50,0,0.413557984842246
51,0,0.392129114406613
52,0,0.29793632175626
53,0,0.143137961307522
54,1,0.377950004669922
55,1,0.429158481079238
56,0,0.114969537926208
57,0,0.287465225818036
58,0,0.115886715931233
59,1,0.712177833309923
60,0,0.176873411228835
61,0,0.280358767404405
62,0,0.246863811979341
63,0,0.145836841646165
64,0,0.220049664797284
65,0,0.0711309495195772
66,0,0.1780546174984
67,0,0.419368338820318
68,0,0.166579486232432
69,0,0.178110867279295
70,0,0.100376699564016
71,1,0.620806067324328
72,0,0.0727941204978018
73,0,0.124345053348357
74,0,0.0983307581295924
75,0,0.0449601107762041
76,0,0.0997948181509159
77,0,0.1471026737102
78,0,0.0556108406917718
79,0,0.0502766648285854
80,0,0.51553544783826
81,0,0.226850823618834
82,1,0.1528989796377
83,0,0.20190948255933
84,0,0.104396437113586
85,0,0.347513264644321
86,0,0.54950078745262
87,1,0.0683728074006519
88,0,0.0719006400120522
89,1,0.304012628645544
90,0,0.11848389102753
91,1,0.112455389388193
92,0,0.242442953322562
93,0,0.18652747985656
94,0,0.0237207111829579
95,0,0.0639810566406073
96,0,0.0638841826294998
97,0,0.0814257545647155
98,0,0.0656245502101119
99,0,0.0426806101867852
100,0,0.11365126731969
101,0,0.100244628010719
102,0,0.290122578725269
103,0,0.113364604062243
104,0,0.12406163991129
105,1,0.425041116921983
106,1,0.190673283170869
107,0,0.111268515600485
108,0,0.196245392414574
109,0,0.149266690173031
110,1,0.301462303360006
111,0,0.0891632813437738
112,0,0.343383707895679
113,0,0.264654672331673
114,0,0.0618437990668524
115,1,0.0649017241386654
116,0,0.12590985852387
117,0,0.442636622496438
118,0,0.278000972757958
119,1,0.351090996304684
120,0,0.257998933955134
121,0,0.122894551246573
122,0,0.202048779184731
123,0,0.21749328388381
124,0,0.356666652994299
125,0,0.128312527437146
126,1,0.262554023245174
127,1,0.237765525127842
128,1,0.677843010881393
129,0,0.219774573133358
130,0,0.0703870370978217
131,0,0.0606205963273812
132,0,0.149608595325268
133,0,0.0705814009476522
134,0,0.0210237861577293
135,0,0.131347928737307
136,0,0.403244092152601
137,0,0.198181797526254
138,0,0.092370085758429
139,1,0.487129339942562
140,1,0.103169680716975
141,0,0.406729805899705
142,0,0.036731054029892
143,0,0.165189215160107
144,1,0.310783031374207
145,1,0.189086909208325
146,0,0.043573156871316
147,0,0.158474911427998
148,0,0.183881610480247
149,0,0.249937491025652
150,0,0.0417193875345255
151,0,0.133433489357991
152,1,0.378152370395395
153,0,0.159582076838784
154,0,0.203845597657667
155,0,0.115357670836175
156,1,0.388441522647066
157,0,0.141731793689139
158,0,0.0454529648750073
159,0,0.636505195398203
160,0,0.383759257147638
161,0,0.0394699629586153
162,0,0.0819358120452368
163,0,0.444138296825429
164,0,0.0721297346926975
165,1,0.118397374790014
166,0,0.0820399961542815
167,1,0.226704649846959
168,0,0.329101026006084
169,1,0.22719083831866
170,0,0.131735094105615
171,0,0.196075277371676
172,0,0.174697819383219
173,1,0.451899431347099
174,0,0.127795763598216
175,0,0.0631436919992151
176,0,0.109326675367226
177,0,0.0564549664713361
178,0,0.296638903955158
179,0,0.137684843790032
180,1,0.743794049108296
181,0,0.176331957758266
182,0,0.303274276547832
183,0,0.564605350480253
184,0,0.0699242775950809
185,1,0.177992605330718
186,0,0.0952142761692129
187,0,0.307671909533946
188,0,0.0977288010552484
189,0,0.0294876279482695
190,0,0.357909415694058
